NGI ID	User ID	Mreads	>=Q30
P21511_101	1A_ac	104.67	91.08
P21511_102	1B_ac	94.18	91.15
P21511_103	0A_ac	92.48	91.06
P21511_104	0B_ac	101.64	91.05
P21511_105	LFA_ac	97.34	91.28
P21511_106	LFB_ac	85.22	91.03
P21511_107	LMA_ac	85.24	91.08
P21511_108	LMB_ac	95.81	91.06
P21511_109	AFA_ac	87.39	91.81
P21511_110	AFB_ac	85.17	91.78
P21511_111	AMA_ac	83.62	91.61
P21511_112	AMB_ac	104.36	91.55
P21511_113	1A_m3	77.93	91.37
P21511_114	1B_m3	85.39	91.74
P21511_115	0A_m3	70.97	91.73
P21511_116	0B_m3	85.76	91.85
P21511_117	LFA_m3	75.61	91.73
P21511_118	LFB_m3	74.08	91.38
P21511_119	LMA_m3	56.38	91.61
P21511_120	LMB_m3	70.27	91.03
P21511_121	AFA_m3	96.39	91.60
P21511_122	AFB_m3	82.30	91.48
P21511_123	AMA_m3	80.31	91.35
P21511_124	AMB_m3	86.96	91.47
P21511_125	1A_input	94.85	91.34
P21511_126	1B_input	109.66	91.29
P21511_127	0A_input	107.36	91.26
P21511_128	0B_input	105.11	91.28
P21511_129	LFA_input	119.18	91.34
P21511_130	LFB_input	86.05	91.58
P21511_131	LMA_input	86.41	91.37
P21511_132	LMB_input	95.59	91.72
P21511_133	AFA_input	96.11	91.54
P21511_134	AFB_input	93.06	91.60
P21511_135	AMA_input	89.95	91.51
P21511_136	AMB_input	95.33	91.40
