group,replicate,fastq_1,fastq_2,antibody,control
V1_ac,1,P21511_101_S26_L003_R1_001.fastq.gz,P21511_101_S26_L003_R2_001.fastq.gz,H3K27ac,V1_INPUT
V1_ac,2,P21511_102_S27_L003_R1_001.fastq.gz,P21511_102_S27_L003_R2_001.fastq.gz,H3K27ac,V1_INPUT
V0_ac,1,P21511_103_S28_L003_R1_001.fastq.gz,P21511_103_S28_L003_R2_001.fastq.gz,H3K27ac,V0_INPUT
V0_ac,2,P21511_104_S29_L003_R1_001.fastq.gz,P21511_104_S29_L003_R2_001.fastq.gz,H3K27ac,V0_INPUT
V1_m3,1,P21511_113_S38_L003_R1_001.fastq.gz,P21511_113_S38_L003_R2_001.fastq.gz,H3K4m3,V1_INPUT
V1_m3,2,P21511_114_S39_L003_R1_001.fastq.gz,P21511_114_S39_L003_R2_001.fastq.gz,H3K4m3,V1_INPUT
V0_m3,1,P21511_115_S40_L003_R1_001.fastq.gz,P21511_115_S40_L003_R2_001.fastq.gz,H3K4m3,V0_INPUT
V0_m3,2,P21511_116_S41_L003_R1_001.fastq.gz,P21511_116_S41_L003_R2_001.fastq.gz,H3K4m3,V0_INPUT
V1_INPUT,1,P21511_125_S50_L003_R1_001.fastq.gz,P21511_125_S50_L003_R2_001.fastq.gz,,
V1_INPUT,2,P21511_126_S51_L003_R1_001.fastq.gz,P21511_126_S51_L003_R2_001.fastq.gz,,
V0_INPUT,1,P21511_127_S52_L003_R1_001.fastq.gz,P21511_127_S52_L003_R2_001.fastq.gz,,
V0_INPUT,2,P21511_128_S53_L003_R1_001.fastq.gz,P21511_128_S53_L003_R2_001.fastq.gz,,
